thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,Fixation.started,key_resp.started,Fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials.tilt,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
35,0,35,down,1,0.5010887910029851,None,4,35,0,35,0,63.71827670800849,,63.708326040999964,63.71827670800849,64.70665295800427,64.71540512499632,65.21824912499869,down,1,0.5010887910029851,None,4,vinni,001,2025-09-10_15h06.11.089,Orientation discrimination task exp,,2025.1.1,119.78827421683415,2025-09-10 15h06.19.015995 +0530,
36,0,36,down,0,0.8419003739836626,None,0,36,0,36,0,65.22875487498823,,65.21902970800875,65.22875487498823,66.21588208299363,66.22180583298905,67.06792862500879,down,0,0.8419003739836626,None,0,vinni,001,2025-09-10_15h06.11.089,Orientation discrimination task exp,,2025.1.1,119.78827421683415,2025-09-10 15h06.19.015995 +0530,
37,0,37,up,1,1.1400288329750765,None,0,37,0,37,0,67.07780729100341,,67.06853795799543,67.07780729100341,68.06586504098959,68.07175087500946,69.21859487498295,up,1,1.1400288329750765,None,0,vinni,001,2025-09-10_15h06.11.089,Orientation discrimination task exp,,2025.1.1,119.78827421683415,2025-09-10 15h06.19.015995 +0530,
38,0,38,down,1,0.8759816250239965,None,2,38,0,38,0,69.2287995829829,,69.21943599998485,69.2287995829829,70.21569479099708,70.22187362500699,71.10176954098279,down,1,0.8759816250239965,None,2,vinni,001,2025-09-10_15h06.11.089,Orientation discrimination task exp,,2025.1.1,119.78827421683415,2025-09-10 15h06.19.015995 +0530,
39,0,39,down,0,0.5727108750143088,None,0,39,0,39,0,71.11128499999177,,71.10228704099427,71.11128499999177,72.09909779098234,72.1050535000104,72.6740514159901,down,0,0.5727108750143088,None,0,vinni,001,2025-09-10_15h06.11.089,Orientation discrimination task exp,,2025.1.1,119.78827421683415,2025-09-10 15h06.19.015995 +0530,
40,0,40,up,1,0.7974251249979716,None,0,40,0,40,0,72.68300783299492,,72.67452141598915,72.68300783299492,73.67253999999957,73.67253999999957,74.47438129098737,up,1,0.7974251249979716,None,0,vinni,001,2025-09-10_15h06.11.089,Orientation discrimination task exp,,2025.1.1,119.78827421683415,2025-09-10 15h06.19.015995 +0530,
41,0,41,up,1,0.6642415820097085,None,0,41,0,41,0,74.48490049998509,,74.47505733300932,74.48490049998509,75.47370245799539,75.48226499999873,76.14109920800547,up,1,0.6642415820097085,None,0,vinni,001,2025-09-10_15h06.11.089,Orientation discrimination task exp,,2025.1.1,119.78827421683415,2025-09-10 15h06.19.015995 +0530,
42,0,42,up,1,0.7179377489956096,None,0,42,0,42,0,76.1511742080038,,76.14185654098401,76.1511742080038,77.13989279099042,77.14914624998346,77.86858337500598,up,1,0.7179377489956096,None,0,vinni,001,2025-09-10_15h06.11.089,Orientation discrimination task exp,,2025.1.1,119.78827421683415,2025-09-10 15h06.19.015995 +0530,
43,0,43,down,1,0.583994041022379,None,4,43,0,43,0,77.8795996659901,,77.86948483300512,77.8795996659901,78.86585579099483,78.87180024999543,79.45784641598584,down,1,0.583994041022379,None,4,vinni,001,2025-09-10_15h06.11.089,Orientation discrimination task exp,,2025.1.1,119.78827421683415,2025-09-10 15h06.19.015995 +0530,
44,0,44,down,1,0.4768707490002271,None,-5,44,0,44,0,79.4825614579895,,79.45845687499968,79.4825614579895,80.45696329098428,80.47095587500371,80.94068033300573,down,1,0.4768707490002271,None,-5,vinni,001,2025-09-10_15h06.11.089,Orientation discrimination task exp,,2025.1.1,119.78827421683415,2025-09-10 15h06.19.015995 +0530,
45,0,45,down,1,0.441539332998218,None,2,45,0,45,0,80.96598812498269,,80.94135216600262,80.96598812498269,81.94046816599439,81.9544038749882,82.38522058300441,down,1,0.441539332998218,None,2,vinni,001,2025-09-10_15h06.11.089,Orientation discrimination task exp,,2025.1.1,119.78827421683415,2025-09-10 15h06.19.015995 +0530,
46,0,46,down,0,0.5323604579898529,None,0,46,0,46,0,82.39538537498447,,82.38583629101049,82.39538537498447,83.38263775000814,83.38811574998545,83.91861591598717,down,0,0.5323604579898529,None,0,vinni,001,2025-09-10_15h06.11.089,Orientation discrimination task exp,,2025.1.1,119.78827421683415,2025-09-10 15h06.19.015995 +0530,
47,0,47,down,0,1.1246586249908432,None,0,47,0,47,0,83.92905191599857,,83.91930854099337,83.92905191599857,84.91616216598777,84.92248295800528,86.05226425000001,down,0,1.1246586249908432,None,0,vinni,001,2025-09-10_15h06.11.089,Orientation discrimination task exp,,2025.1.1,119.78827421683415,2025-09-10 15h06.19.015995 +0530,
48,0,48,down,1,0.5183881660050247,None,3,48,0,48,0,86.06253825000022,,86.05312454100931,86.06253825000022,87.04946941600065,87.05527608300326,87.57416308298707,down,1,0.5183881660050247,None,3,vinni,001,2025-09-10_15h06.11.089,Orientation discrimination task exp,,2025.1.1,119.78827421683415,2025-09-10 15h06.19.015995 +0530,
49,0,49,down,0,0.543255708005745,None,0,49,0,49,0,87.58306962499046,,87.57466612500139,87.58306962499046,88.57271462498466,88.57271462498466,89.1188707909896,down,0,0.543255708005745,None,0,vinni,001,2025-09-10_15h06.11.089,Orientation discrimination task exp,,2025.1.1,119.78827421683415,2025-09-10 15h06.19.015995 +0530,
50,0,50,up,1,0.9777232490014285,None,0,50,0,50,0,89.1298194580013,,89.11963333300082,89.1298194580013,90.11616458298522,90.12203558298643,91.1016365000105,up,1,0.9777232490014285,None,0,vinni,001,2025-09-10_15h06.11.089,Orientation discrimination task exp,,2025.1.1,119.78827421683415,2025-09-10 15h06.19.015995 +0530,
51,0,51,down,1,0.8817819160176441,None,3,51,0,51,0,91.11157204100164,,91.10232129099313,91.11157204100164,92.09920229099225,92.10517179098679,92.9854002080101,down,1,0.8817819160176441,None,3,vinni,001,2025-09-10_15h06.11.089,Orientation discrimination task exp,,2025.1.1,119.78827421683415,2025-09-10 15h06.19.015995 +0530,
52,0,52,down,1,0.4840614999993704,None,-5,52,0,52,0,92.99529420799809,,92.98607137499494,92.99529420799809,93.98288095800672,93.98889899998903,94.47444608298247,down,1,0.4840614999993704,None,-5,vinni,001,2025-09-10_15h06.11.089,Orientation discrimination task exp,,2025.1.1,119.78827421683415,2025-09-10 15h06.19.015995 +0530,
53,0,53,down,1,0.5016664159775246,None,-4,53,0,53,0,94.48472154099727,,94.4751064160082,94.48472154099727,95.47308312499081,95.48273975000484,95.98538862500573,down,1,0.5016664159775246,None,-4,vinni,001,2025-09-10_15h06.11.089,Orientation discrimination task exp,,2025.1.1,119.78827421683415,2025-09-10 15h06.19.015995 +0530,
54,0,54,down,1,0.9798187490087003,None,-3,54,0,54,0,95.99586129098316,,95.98608762500226,95.99586129098316,96.98314608298824,96.98908100000699,97.96895495799254,down,1,0.9798187490087003,None,-3,vinni,001,2025-09-10_15h06.11.089,Orientation discrimination task exp,,2025.1.1,119.78827421683415,2025-09-10 15h06.19.015995 +0530,
55,0,55,up,1,0.5075049579900224,None,0,55,0,55,0,97.98091320798267,,97.96969766600523,97.98091320798267,98.96638762499788,98.97226849998697,99.48536341599538,up,1,0.5075049579900224,None,0,vinni,001,2025-09-10_15h06.11.089,Orientation discrimination task exp,,2025.1.1,119.78827421683415,2025-09-10 15h06.19.015995 +0530,
56,0,56,down,1,0.7768946659925859,None,4,56,0,56,0,99.49582024998381,,99.48605812501046,99.49582024998381,100.48309754100046,100.489051749988,101.26906029100064,down,1,0.7768946659925859,None,4,vinni,001,2025-09-10_15h06.11.089,Orientation discrimination task exp,,2025.1.1,119.78827421683415,2025-09-10 15h06.19.015995 +0530,
