thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_dist,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
59,0,59,[np.float64(-0.17)],[np.float64(0.13)],[1],[0],[0],[4.015399500000058],['target'],59,0,59,0,133.3398205830017,,5,133.32785249999142,133.3398205830017,133.3398205830017,0.015771875012433156,137.343335499987,[np.float64(-0.17)],[np.float64(0.13)],[1],[0],[0],[4.015399500000058],['target'],p4,001,2025-09-30_17h41.41.026,Experiment,,2025.1.1,119.75785011147751,2025-09-30 17h41.55.589986 +0530,
60,0,60,[np.float64(-0.04)],[np.float64(-0.43666666666666665)],[1],[0],[0],[1.6330428749788553],['target'],60,0,60,0,137.37149120800314,,5,137.35955170798115,137.37149120800314,137.37149120800314,0.01600900001358241,138.9926740420051,[np.float64(-0.04)],[np.float64(-0.43666666666666665)],[1],[0],[0],[1.6330428749788553],['target'],p4,001,2025-09-30_17h41.41.026,Experiment,,2025.1.1,119.75785011147751,2025-09-30 17h41.55.589986 +0530,
61,0,61,[np.float64(0.28555555555555556)],[np.float64(0.46555555555555556)],[1],[0],[0],[1.5547442090173718],['target'],61,0,61,0,139.0355601249903,,10,139.02076766698156,139.0355601249903,139.0355601249903,0.02788412501104176,140.57557954199729,[np.float64(0.28555555555555556)],[np.float64(0.46555555555555556)],[1],[0],[0],[1.5547442090173718],['target'],p4,001,2025-09-30_17h41.41.026,Experiment,,2025.1.1,119.75785011147751,2025-09-30 17h41.55.589986 +0530,
62,0,62,[np.float64(-0.1688888888888889)],[np.float64(-0.12666666666666668)],[1],[0],[0],[1.9096878329874016],[None],62,0,62,0,140.61023299998487,,10,140.59804533299757,140.61023299998487,140.61023299998487,0.022287749976385385,142.5077960419876,[np.float64(-0.1688888888888889)],[np.float64(-0.12666666666666668)],[1],[0],[0],[1.9096878329874016],[None],p4,001,2025-09-30_17h41.41.026,Experiment,,2025.1.1,119.75785011147751,2025-09-30 17h41.55.589986 +0530,
63,0,63,[np.float64(0.29555555555555557)],[np.float64(0.49333333333333335)],[1],[0],[0],[1.9025118749996182],['target'],63,0,63,0,142.54003124998417,,10,142.52817912498722,142.54003124998417,142.54003124998417,0.020220792008331046,144.4307801249961,[np.float64(0.29555555555555557)],[np.float64(0.49333333333333335)],[1],[0],[0],[1.9025118749996182],['target'],p4,001,2025-09-30_17h41.41.026,Experiment,,2025.1.1,119.75785011147751,2025-09-30 17h41.55.589986 +0530,
64,0,64,[np.float64(0.2722222222222222)],[np.float64(0.3288888888888889)],[1],[0],[0],[1.483285166992573],[None],64,0,64,0,144.4505121249822,,5,144.4414814169868,144.4505121249822,144.4505121249822,0.0105336660053581,145.924863207998,[np.float64(0.2722222222222222)],[np.float64(0.3288888888888889)],[1],[0],[0],[1.483285166992573],[None],p4,001,2025-09-30_17h41.41.026,Experiment,,2025.1.1,119.75785011147751,2025-09-30 17h41.55.589986 +0530,
65,0,65,[np.float64(0.33111111111111113)],[np.float64(-0.33)],[1],[0],[0],[2.3420256660028826],['target'],65,0,65,0,145.9652991250041,,10,145.9516594169836,145.9652991250041,145.9652991250041,0.02662133300327696,148.29376604198478,[np.float64(0.33111111111111113)],[np.float64(-0.33)],[1],[0],[0],[2.3420256660028826],['target'],p4,001,2025-09-30_17h41.41.026,Experiment,,2025.1.1,119.75785011147751,2025-09-30 17h41.55.589986 +0530,
66,0,66,[np.float64(0.40555555555555556)],[np.float64(0.4111111111111111)],[1],[0],[0],[2.0510497920040507],['target'],66,0,66,0,148.3201020419947,,5,148.30904541700147,148.3201020419947,148.3201020419947,0.015061874990351498,150.36016804198152,[np.float64(0.40555555555555556)],[np.float64(0.4111111111111111)],[1],[0],[0],[2.0510497920040507],['target'],p4,001,2025-09-30_17h41.41.026,Experiment,,2025.1.1,119.75785011147751,2025-09-30 17h41.55.589986 +0530,
67,0,67,[np.float64(-0.12777777777777777)],[np.float64(-0.31555555555555553)],[1],[0],[0],[5.909490291000111],['target'],67,0,67,0,150.38641041700612,,5,150.3750215829932,150.38641041700612,150.38641041700612,0.014683791989227757,156.28462716698414,[np.float64(-0.12777777777777777)],[np.float64(-0.31555555555555553)],[1],[0],[0],[5.909490291000111],['target'],p4,001,2025-09-30_17h41.41.026,Experiment,,2025.1.1,119.75785011147751,2025-09-30 17h41.55.589986 +0530,
68,0,68,[np.float64(-0.027777777777777776)],[np.float64(0.3566666666666667)],[1],[0],[0],[1.8026185000198893],['target'],68,0,68,0,156.32991020800546,,10,156.31512404198293,156.32991020800546,156.32991020800546,0.03027058401494287,158.11779891699553,[np.float64(-0.027777777777777776)],[np.float64(0.3566666666666667)],[1],[0],[0],[1.8026185000198893],['target'],p4,001,2025-09-30_17h41.41.026,Experiment,,2025.1.1,119.75785011147751,2025-09-30 17h41.55.589986 +0530,
69,0,69,[np.float64(-0.13)],[np.float64(0.04777777777777778)],[1],[0],[0],[1.577363083983073],['target'],69,0,69,0,158.14379712499795,,5,158.1324767920014,158.14379712499795,158.14379712499795,0.014477415999863297,159.7099174580071,[np.float64(-0.13)],[np.float64(0.04777777777777778)],[1],[0],[0],[1.577363083983073],['target'],p4,001,2025-09-30_17h41.41.026,Experiment,,2025.1.1,119.75785011147751,2025-09-30 17h41.55.589986 +0530,
